"input_names","Common_Name","Taxa","Binomial","class","order","family"
"Microlabrychtis evansi","Yellow-tail goldie","Fish","Pseudanthias evansi","Actinopterygii","Perciformes","Serranidae"
"Microlabrychtis evansi","Yellow-tail Goldie","Fish","Pseudanthias evansi","Actinopterygii","Perciformes","Serranidae"
"Microspadoton chiarus","Jewel damsel","Fish","Microspathodon chrysurus","Actinopterygii","Ovalentaria incertae sedis","Pomacanthidae"
"Mierophys","Spider Crab",NA,NA,"Malacostraca","Decapoda",NA
"Mierophys","Spider Crab","Invertebrate",NA,"Malacostraca","Decapoda",NA
"Mierophys","Soider crab",NA,NA,"Malacostraca","Decapoda",NA
"Mierophys","Spider crab",NA,NA,"Malacostraca","Decapoda",NA
"Mimic tang","Acanthurus proferus var",NA,"Acanthurus pyroferus","Actinopterygii","Acanthuriformes","Acanthuridae"
"Molliensia veilfera","Gold nugget molly","Fish","Poecilia velifera","Actinopterygii","Cyprinodontiformes","Poeciliidae"
NA,"Hermit crabs","Crustacean",NA,"Malacostraca","Decapoda",NA
NA,"Lip Wrasse","Fish",NA,"Actinopterygii",NA,NA
NA,"Moorish Idol","Fish","Zanclus cornutus","Actinopterygii","Acanthuriformes","Zanclidae"
NA,"Red pencil sea urchin","Invertebrate",NA,"Echinoidea",NA,NA
NA,"Ordinary pistol shrimp","Crustacean",NA,"Malacostraca","Decapoda",NA
NA,"Purple long nose shrimp","Crustacean",NA,"Malacostraca","Decapoda",NA
NA,"Red cardinal","Fish",NA,"Actinopterygii",NA,NA
NA,"Soft coral - assorted","Invertebrate",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,"Black wrasse","Fish",NA,"Actinopterygii",NA,NA
NA,"Fusilier damsel","Fish","Lepidozygus tapeinosoma","Actinopterygii","Ovalentaria incertae sedis","Pomacentridae"
NA,"Red Cardinalfish",NA,NA,"Actinopterygii",NA,NA
NA,"Feather star",NA,NA,"Crinoidea",NA,NA
NA,"Cortez angel",NA,"Pomacanthus zonipectus","Actinopterygii","Acanthuriformes","Pomacanthidae"
NA,"Red cardenals",NA,NA,NA,NA,NA
NA,"Shrimp with orange prawn goby",NA,NA,NA,NA,NA
NA,"Shrimp with yellow rose goby",NA,NA,NA,NA,NA
NA,"Shrimp with flagtail shrimp goby",NA,NA,NA,NA,NA
NA,"Shrimp with yellow lizardfish",NA,NA,NA,NA,NA
NA,"Soft mushroom coral",NA,NA,NA,NA,NA
NA,"Soft coral",NA,NA,NA,NA,NA
NA,"Soft coral garden",NA,NA,NA,NA,NA
NA,"Mushroom soft coral",NA,NA,NA,NA,NA
NA,"Red cardinal",NA,NA,NA,NA,NA
NA,"Leaf wrasse",NA,NA,NA,NA,NA
NA,"Black wrasse",NA,NA,NA,NA,NA
NA,"Thistle Coral",NA,NA,NA,NA,NA
NA,"Toadstool soft coral",NA,NA,NA,NA,NA
NA,"Branching tree coral",NA,NA,NA,NA,NA
NA,"Fusilier damsel",NA,"Lepidozygus tapeinosoma","Actinopterygii","Ovalentaria incertae sedis","Pomacentridae"
NA,"Scolopsis",NA,"Scolopsis","Actinopterygii","Eupercaria incertae sedis","Nemipteridae"
NA,"Green damsel",NA,NA,NA,NA,NA
NA,"Acan Coral",NA,"Acanthastrea","Hexacorallia","Scleractinia","Lobophylliidae"
NA,"Scoly Coral",NA,"Scolymia","Hexacorallia","Scleractinia","Faviidae"
NA,"Elegance coral",NA,"Catalaphyllia","Hexacorallia","Scleractinia","Merulinidae"
NA,"Flowerpot coral",NA,"Goniopora","Hexacorallia","Scleractinia","Poritidae"
NA,"Peterson cleaner shrimp",NA,"Ancylomenes pedersoni","Malacostraca","Decapoda","Palaemonidae"
NA,"Small Hermit Crabs","Invertebrate",NA,"Malacostraca","Decapoda",NA
"NA rainfordi","Red stripe goby","Fish","Koumansetta rainfordi","Actinopterygii","Gobiiformes","Gobiidae"
"Nareus","Hermit Crab","Invertebrate",NA,"Malacostraca","Decapoda",NA
"Nasarius","Hermit zombie","Invertebrate","Nassarius","Gastropoda","Neogastropoda","Nassariidae"
"Nasarius","Hermit yellow",NA,"Nassarius","Gastropoda","Neogastropoda","Nassariidae"
"Nasarius","Hermit zombie",NA,"Nassarius","Gastropoda","Neogastropoda","Nassariidae"
"Nassiurus","Mollusk: snail, nassirus, tonga",NA,"Nassarius","Gastropoda","Neogastropoda","Nassariidae"
"Neopterolistres sp.","Orange crab","Crustacean","Neopetrolisthes","Malacostraca","Decapoda","Porcellanidae"
"Nepthea","Green Feathery","Coral",NA,"Octocorallia","Malacalcyonacea","Nephtheidae"
"Nepththya","Red tree soft coral","Invertebrate",NA,"Octocorallia","Malacalcyonacea","Nephtheidae"
"Novaculicthys taenurius","Dragon","Fish","Novaculichthys taeniourus","Actinopterygii","Eupercaria incertae sedis","Labridae"
"Novaculicthys taenurius","Dragon",NA,"Novaculichthys taeniourus","Actinopterygii","Eupercaria incertae sedis","Labridae"
